Description,URL,Tactic1,Tactic2
"Stuxnet executes malicious SQL commands in the WinCC database server to propagate to remote systems. The malicious SQL commands include xp_cmdshell, sp_dumpdbilog, and sp_addextendedproc. ",https://attack.mitre.org//techniques/T0886,INITIAL_ACCESS,LATERAL_MOVEMENT
TEMP.Veles utilized remote desktop protocol (RDP) jump boxes to move into the ICS environment. ,https://attack.mitre.org//techniques/T0886,INITIAL_ACCESS,LATERAL_MOVEMENT
"During the 2015 Ukraine Electric Power Attack, Sandworm Team remotely discovered operational assets once on the OT network.  ",https://attack.mitre.org//techniques/T0846,DISCOVERY,
"The Backdoor.Oldrea ICS malware plugin relies on Windows networking (WNet) to discover all the servers, including OPC servers, that are reachable by the compromised machine over the network. ",https://attack.mitre.org//techniques/T0846,DISCOVERY,
INCONTROLLER can perform a UDP multicast scan of UDP port 27127 to identify Schneider PLCs that use that port for the NetManage protocol.INCONTROLLER can use the FINS (Factory Interface Network Service) protocol to scan for and obtain MAC address associated with Omron devices.INCONTROLLER has the ability to perform scans for TCP port 4840 to identify devices running OPC UA servers.,https://attack.mitre.org//techniques/T0846,DISCOVERY,
The Industroyer IEC 61850 payload component has the ability to discover relevant devices in the infected host's network subnet by attempting to connect on port 102.Industroyer contains an OPC DA module that enumerates all OPC servers using the ICatInformation::EnumClassesOfCategories method with CATID_OPCDAServer20 category identifier and IOPCServer::GetStatus to identify the ones running.,https://attack.mitre.org//techniques/T0846,DISCOVERY,
PLC-Blaster scans the network to find other Siemens S7 PLC devices to infect. It locates these devices by checking for a service listening on TCP port 102. ,https://attack.mitre.org//techniques/T0846,DISCOVERY,
Triton uses a Python script that is capable of detecting Triconex controllers on the network by sending a specific UDP broadcast packet over port 1502. ,https://attack.mitre.org//techniques/T0846,DISCOVERY,
"The Backdoor.Oldrea payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process.  ",https://attack.mitre.org//techniques/T0888,DISCOVERY,
INCONTROLLER includes a library that creates Modbus connections with a device to request its device ID.,https://attack.mitre.org//techniques/T0888,DISCOVERY,
"The Industroyer IEC 61850 component sends the domain-specific MMSgetNameList request to determine what logical nodes the device supports. It then searches the logical nodes for the CSW value, which indicates the device performs a circuit breaker or switch control function.Industroyer's OPC DA module also uses IOPCBrowseServerAddressSpace to look for items with the following strings: ctlSelOn, ctlOperOn, ctlSelOff, ctlOperOff, Pos and stVal.Industroyer IEC 60870-5-104 module includes a range mode to discover Information Object Addresses (IOAs) by enumerating through each.",https://attack.mitre.org//techniques/T0888,DISCOVERY,
"Industroyer2 has the capability to poll a target device about its connection status, data transfer status, Common Address (CA), Information Object Addresses (IOAs), and IO state values across multiple priority levels.",https://attack.mitre.org//techniques/T0888,DISCOVERY,
"Stuxnet enumerates and parses the System Data Blocks (SDB) using the s7blk_findfirst and s7blk_findnext API calls in s7otbxdx.dll. Stuxnet must find an SDB with the DWORD at offset 50h equal to 0100CB2Ch. This specifies that the system uses the Profibus communications processor module CP 342-5. In addition, specific values are searched for and counted: 7050h and 9500h. 7050h is assigned to part number KFC750V3 which appears to be a frequency converter drive (also known as variable frequency drive) manufactured by Fararo Paya in Teheran, Iran. 9500h is assigned to Vacon NX frequency converter drives manufactured by Vacon based in Finland.Stuxnet was specifically targeting CPUs 6ES7-315-2 (Series 300) with special system data block characteristics for sequence A or B and 6ES7-315-2 for sequence C. The PLC type can also be checked using the s7ag_read_szl API.",https://attack.mitre.org//techniques/T0888,DISCOVERY,
"Conficker exploits Windows drive shares. Once it has infected a computer, Conficker automatically copies itself to all visible open drive shares on other computers inside the network.  Nuclear power plant officials suspect someone brought in Conficker by accident on a USB thumb drive, either from home or computers found in the power plant's facility. ",https://attack.mitre.org//techniques/T0847,INITIAL_ACCESS,
"Stuxnet was able to self-replicate by being spread through removable drives. A willing insider or unknown third party, such as a contractor, may have brought the removable media into the target environment.  The earliest version of Stuxnet relied on physical installation, infecting target systems when an infected configuration file carried by a USB stick was opened. ",https://attack.mitre.org//techniques/T0847,INITIAL_ACCESS,
"In the Maroochy Water Breach, the adversary falsified network addresses in order to send false data and instructions to pumping stations.",https://attack.mitre.org//techniques/T0848,INITIAL_ACCESS,
"One of Stuxnet's rootkits is contained entirely in the fake s7otbxdx.dll. In order to continue existing undetected on the PLC it needs to account for at least the following situations: read requests for its own malicious code blocks, read requests for infected blocks (OB1, OB35, DP_RECV), and write requests that could overwrite Stuxnets own code. Stuxnet contains code to monitor and intercept these types of requests. The rootkit modifies these requests so that Stuxnets PLC code is not discovered or damaged. ",https://attack.mitre.org//techniques/T0851,EVASION,INHIBIT_RESPONSE_FUNCTION
ALLANITE has been identified to collect and distribute screenshots of ICS systems such as HMIs.  ,https://attack.mitre.org//techniques/T0852,COLLECTION,
APT33 utilize backdoors capable of capturing screenshots once installed on a system. ,https://attack.mitre.org//techniques/T0852,COLLECTION,
"During the 2016 Ukraine Electric Power Attack, Sandworm Team utilized VBS and batch scripts for file movement and as wrappers for PowerShell execution.",https://attack.mitre.org//techniques/T0853,EXECUTION,
APT33 utilized PowerShell scripts to establish command and control and install files for execution.  ,https://attack.mitre.org//techniques/T0853,EXECUTION,
OilRig has embedded a macro within spearphishing attachments that has been made up of both a VBScript and a PowerShell script.,https://attack.mitre.org//techniques/T0853,EXECUTION,
"REvil utilizes JavaScript, WScript, and PowerShell scripts to execute. The malicious JavaScript attachment has an obfuscated PowerShell script that executes the malware. ",https://attack.mitre.org//techniques/T0853,EXECUTION,
Triton communicates with Triconex controllers using a custom component framework written entirely in Python. The modules that implement the TriStation communication protocol and other supporting components are found in a separate file -- library.zip -- the main script that employs this functionality is compiled into a standalone py2exe Windows executable -- trilog.exe  which includes a Python environment. ,https://attack.mitre.org//techniques/T0853,EXECUTION,
"Before encrypting the process, EKANS first kills the process if its name matches one of the processes defined on the kill-list.    EKANS also utilizes netsh commands to implement firewall rules that blocks any remote communication with the device. ",https://attack.mitre.org//techniques/T0881,INHIBIT_RESPONSE_FUNCTION,
"Industroyer has the capability to stop a service itself, or to login as a user and stop a service as that user. ",https://attack.mitre.org//techniques/T0881,INHIBIT_RESPONSE_FUNCTION,
"Industroyer2 has the capability to terminate specified processes (i.e., PServiceControl.exe and PService_PDD.exe) and rename each process to prevent restart. These are defined through a hardcoded configuration.",https://attack.mitre.org//techniques/T0881,INHIBIT_RESPONSE_FUNCTION,
"KillDisk looks for and terminates two non-standard processes, one of which is an ICS application. ",https://attack.mitre.org//techniques/T0881,INHIBIT_RESPONSE_FUNCTION,
REvil searches for all processes listed in the prc field within its configuration file and then terminates each process. ,https://attack.mitre.org//techniques/T0881,INHIBIT_RESPONSE_FUNCTION,
ALLANITE utilized spear phishing to gain access into energy sector environments. ,https://attack.mitre.org//techniques/T0865,INITIAL_ACCESS,
"APT33 sent spear phishing emails containing links to HTML application files, which were embedded with malicious code.  APT33 has conducted targeted spear phishing campaigns against U.S. government agencies and private sector companies. ",https://attack.mitre.org//techniques/T0865,INITIAL_ACCESS,
The Backdoor.Oldrea RAT is distributed through a trojanized installer attached to emails. ,https://attack.mitre.org//techniques/T0865,INITIAL_ACCESS,
BlackEnergy targeted energy sector organizations in a wide reaching email spearphishing campaign. Adversaries utilized malicious Microsoft Word documents attachments. ,https://attack.mitre.org//techniques/T0865,INITIAL_ACCESS,
Lazarus Group has been observed targeting organizations using spearphishing documents with embedded malicious payloads.  Highly targeted spear phishing campaigns have been conducted against a U.S. electric grid company. ,https://attack.mitre.org//techniques/T0865,INITIAL_ACCESS,
OilRig used spearphishing emails with malicious Microsoft Excel spreadsheet attachments. ,https://attack.mitre.org//techniques/T0865,INITIAL_ACCESS,
Execution of Backdoor.Oldrea relies on a user opening a trojanized installer attached to an email.  ,https://attack.mitre.org//techniques/T0863,EXECUTION,
Bad Rabbit is disguised as an Adobe Flash installer. When the file is opened it starts locking the infected computer. ,https://attack.mitre.org//techniques/T0863,EXECUTION,
REvil initially executes when the user clicks on a JavaScript file included in the phishing emails .zip attachment. ,https://attack.mitre.org//techniques/T0863,EXECUTION,
"Stuxnet infects DLL's associated with the WinCC Simatic manager which are responsible for opening project files. If a user opens an uninfected project file using a compromised manager, the file will be infected with Stuxnet code. If an infected project is opened with the Simatic manager, the modified data file will trigger a search for the xyz.dll file. If the xyz.dll file is not found in any of the specified locations, the malicious DLL will be loaded and executed by the manager. ",https://attack.mitre.org//techniques/T0863,EXECUTION,
"In the Maroochy Water Breach, the adversary used a dedicated analog two-way radio system to send false data and instructions to pumping stations and the central computer.",https://attack.mitre.org//techniques/T0856,EVASION,IMPAIR_PROCESS_CONTROL
BlackEnergy uses HTTP POST request to contact external command and control servers. ,https://attack.mitre.org//techniques/T0869,COMMAND_AND_CONTROL,
INCONTROLLER can remotely send commands to a malicious agent uploaded on Omron PLCs over HTTP or HTTPS.,https://attack.mitre.org//techniques/T0869,COMMAND_AND_CONTROL,
OilRig communicated with its command and control using HTTP requests. ,https://attack.mitre.org//techniques/T0869,COMMAND_AND_CONTROL,
REvil sends HTTPS POST messages with randomly generated URLs to communicate with a remote server.  ,https://attack.mitre.org//techniques/T0869,COMMAND_AND_CONTROL,
"Stuxnet uses a thread to monitor a data block DB890 of sequence A or B. This thread is constantly running and probing this block (every 5 minutes). On an infected PLC, if block DB890 is found and contains a special magic value (used by Stuxnet to identify his own block DB890), this blocks data can be read and written. This thread is likely used to optimize the way sequences A and B work, and modify their behavior when the Step7 editor is opened. ",https://attack.mitre.org//techniques/T0869,COMMAND_AND_CONTROL,
Triton can communicate with the implant utilizing the TriStation 'get main processor diagnostic data' command and looks for a specifically crafted packet body from which it extracts a command value and its arguments. ,https://attack.mitre.org//techniques/T0869,COMMAND_AND_CONTROL,
The Backdoor.Oldrea RAT is distributed through trojanized installers planted on compromised vendor sites. ,https://attack.mitre.org//techniques/T0862,INITIAL_ACCESS,
Dragonfly trojanized legitimate ICS equipment providers software packages available for download on their websites.,https://attack.mitre.org//techniques/T0862,INITIAL_ACCESS,
TEMP.Veles targeted several ICS vendors and manufacturers. ,https://attack.mitre.org//techniques/T0862,INITIAL_ACCESS,
ACAD/Medre.A can collect AutoCad files with drawings. These drawings may contain operational information. ,https://attack.mitre.org//techniques/T0882,IMPACT,
"Duqu's purpose is to gather intelligence data and assets from entities such as industrial infrastructure and system manufacturers, amongst others not in the industrial sector, in order to more easily conduct a future attack against another third party.",https://attack.mitre.org//techniques/T0882,IMPACT,
Flame can collect AutoCAD design data and visio diagrams as well as other documents that may contain operational information. ,https://attack.mitre.org//techniques/T0882,IMPACT,
REvil sends exfiltrated data from the victims system using HTTPS POST messages sent to the C2 system.  ,https://attack.mitre.org//techniques/T0882,IMPACT,
"In the Maroochy Water Breach, the adversary utilized a computer, possibly stolen, with proprietary engineering software to communicate with a wastewater system.",https://attack.mitre.org//techniques/T0864,INITIAL_ACCESS,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team issued unauthorized commands to substation breaks after gaining control of operator workstations and accessing a distribution management system (DMS) application. ",https://attack.mitre.org//techniques/T0855,IMPAIR_PROCESS_CONTROL,
INCONTROLLER can send custom Modbus commands to write register values on Schneider PLCs. INCONTROLLER can send write tag values on OPC UA servers.,https://attack.mitre.org//techniques/T0855,IMPAIR_PROCESS_CONTROL,
"Using its protocol payloads, Industroyer sends unauthorized commands to RTUs to change the state of equipment. ",https://attack.mitre.org//techniques/T0855,IMPAIR_PROCESS_CONTROL,
"Industroyer2 is capable of sending command messages from the compromised device to target remote stations to open data channels, retrieve the location and values of Information Object Addresses (IOAs), and modify the IO state values through Select Before Operate I/O, Select/Execute, and Invert Default State operations.",https://attack.mitre.org//techniques/T0855,IMPAIR_PROCESS_CONTROL,
"In the Maroochy Water Breach, the adversary used a dedicated analog two-way radio system to send false data and instructions to pumping stations and the central computer.",https://attack.mitre.org//techniques/T0855,IMPAIR_PROCESS_CONTROL,
"During the 2015 Ukraine Electric Power Attack, Sandworm Team used valid accounts to laterally move through VPN connections and dual-homed systems. Sandworm Team used the credentials of valid accounts to interact with client applications and access employee workstations hosting HMI applications.  ",https://attack.mitre.org//techniques/T0859,PERSISTENCE,LATERAL_MOVEMENT
"During the 2016 Ukraine Electric Power Attack, Sandworm Team used valid accounts to laterally move through VPN connections and dual-homed systems.",https://attack.mitre.org//techniques/T0859,PERSISTENCE,LATERAL_MOVEMENT
ALLANITE utilized credentials collected through phishing and watering hole attacks. ,https://attack.mitre.org//techniques/T0859,PERSISTENCE,LATERAL_MOVEMENT
"BlackEnergy utilizes valid user and administrator credentials, in addition to creating new administrator accounts to maintain presence. ",https://attack.mitre.org//techniques/T0859,PERSISTENCE,LATERAL_MOVEMENT
INCONTROLLER  can brute force password-based authentication to Schneider PLCs over  the CODESYS protocol (UDP port 1740).INCONTROLLER  can perform brute force guessing of passwords to OPC UA servers using a predefined list of passwords.,https://attack.mitre.org//techniques/T0859,PERSISTENCE,LATERAL_MOVEMENT
OilRig utilized stolen credentials to gain access to victim machines.,https://attack.mitre.org//techniques/T0859,PERSISTENCE,LATERAL_MOVEMENT
TEMP.Veles used valid credentials when laterally moving through RDP jump boxes into the ICS environment. ,https://attack.mitre.org//techniques/T0859,PERSISTENCE,LATERAL_MOVEMENT
"In the Maroochy Water Breach, the adversary used a two-way radio to communicate with and set the frequencies of Maroochy Shire's repeater stations.",https://attack.mitre.org//techniques/T0860,INITIAL_ACCESS,
